dong,area,price
광주광역시 광산구 도산동,59.95,14500
광주광역시 광산구 신가동,84.9831,59200
광주광역시 광산구 산월동,84.9931,31000
광주광역시 광산구 산월동,84.7886,25000
광주광역시 북구 연제동,59.9943,27200
광주광역시 광산구 우산동,49.86,11300
광주광역시 광산구 우산동,74.9629,33400
광주광역시 광산구 소촌동,84.9245,42350
광주광역시 광산구 수완동,115.9435,89500
광주광역시 북구 양산동,84.9662,33000
광주광역시 북구 우산동,59.9494,43000
광주광역시 북구 운암동,84.865,17500
광주광역시 서구 치평동,84.93,38600
광주광역시 동구 용산동,114.0703,60000
광주광역시 동구 용산동,76.5319,36000
광주광역시 동구 용산동,59.5439,38500
광주광역시 북구 각화동,84.9528,34800
광주광역시 남구 양림동,84.7,32500
광주광역시 북구 운암동,81.2155,44000
광주광역시 동구 학동,84.8412,59800
광주광역시 북구 각화동,79.9219,38000
광주광역시 서구 동천동,84.95,34500
광주광역시 서구 금호동,84.92,24000
광주광역시 북구 중흥동,84.88,56500
광주광역시 서구 화정동,76.9612,57000
광주광역시 서구 화정동,76.9612,59000
광주광역시 남구 봉선동,59.89,40000
광주광역시 북구 우산동,135.37,28000
광주광역시 서구 화정동,19.7906,6000
광주광역시 서구 화정동,84.98,53000
광주광역시 서구 화정동,59.99,38900
광주광역시 북구 각화동,84.745,36600
광주광역시 북구 동림동,52.89,8900
광주광역시 서구 화정동,76.9612,55300
광주광역시 동구 학동,84.78,35000
광주광역시 서구 동천동,84.9679,51000
광주광역시 남구 봉선동,59.9,15000
광주광역시 북구 임동,63.9938,46000
광주광역시 북구 임동,84.994,51700
광주광역시 북구 우산동,59.9883,38550
광주광역시 남구 노대동,84.86,36000
광주광역시 동구 계림동,84.9647,45800
광주광역시 동구 계림동,84.9669,67000
광주광역시 동구 산수동,94.58,25800
광주광역시 북구 운암동,84.3,19500
광주광역시 서구 금호동,84.9493,27300
광주광역시 북구 문흥동,49.95,8300
광주광역시 북구 문흥동,59.97,12000
광주광역시 북구 문흥동,59.91,8100
광주광역시 북구 문흥동,96.64,17000
광주광역시 서구 풍암동,33.7075,8600
광주광역시 남구 주월동,84.8298,53000
광주광역시 남구 주월동,77.7273,46200
광주광역시 남구 월산동,84.9789,45500
광주광역시 북구 매곡동,80.3123,30000
광주광역시 북구 매곡동,48.87,8800
광주광역시 북구 매곡동,80.3123,28000
광주광역시 북구 용두동,59.94,15000
광주광역시 광산구 운남동,49.83,14700
광주광역시 광산구 신창동,84.9873,22000
광주광역시 광산구 수완동,84.9382,57000
광주광역시 광산구 신가동,59.955,11900
광주광역시 광산구 월계동,59.82,15750
광주광역시 광산구 소촌동,84.9245,39500
광주광역시 북구 연제동,84.9934,45500
광주광역시 광산구 신가동,84.976,38800
광주광역시 북구 연제동,84.9934,46100
광주광역시 광산구 운남동,59.76,14500
광주광역시 광산구 하남동,84.8198,26200
광주광역시 광산구 수완동,84.9626,47800
광주광역시 북구 연제동,84.9934,42000
광주광역시 광산구 산정동,84.9924,39500
광주광역시 북구 양산동,59.985,15900
광주광역시 광산구 산월동,84.9763,25000
광주광역시 광산구 도산동,59.95,14300
광주광역시 북구 신용동,59.99,14300
광주광역시 북구 신용동,84.9442,41000
광주광역시 광산구 수완동,79.8427,56600
광주광역시 광산구 월계동,84.83,22000
광주광역시 광산구 월계동,59.9,18000
광주광역시 광산구 도천동,59.76,9100
광주광역시 광산구 도천동,59.76,8300
광주광역시 광산구 도천동,59.76,9300
광주광역시 북구 신용동,84.9442,40800
광주광역시 북구 신용동,84.3616,35400
광주광역시 광산구 우산동,84.9578,37000
광주광역시 광산구 수완동,103.71,61000
광주광역시 북구 양산동,59.785,15900
광주광역시 광산구 수완동,84.8453,60600
광주광역시 광산구 우산동,74.9629,33000
광주광역시 광산구 송정동,59.84,12000
광주광역시 광산구 월곡동,84.51,17000
광주광역시 북구 연제동,84.545,23000
광주광역시 광산구 신창동,84.9873,22900
광주광역시 광산구 운남동,59.91,13350
광주광역시 광산구 우산동,74.9629,33000
광주광역시 광산구 신가동,84.4012,55500
광주광역시 광산구 신가동,84.9888,49500
광주광역시 남구 봉선동,84.9738,75500
광주광역시 서구 치평동,18.5408,6000
광주광역시 서구 광천동,84.9405,56800
광주광역시 서구 금호동,84.96,26500
광주광역시 동구 산수동,144.035,25000
광주광역시 북구 용봉동,84.93,26750
광주광역시 북구 문흥동,59.802,11500
광주광역시 북구 문흥동,84.99,18200
광주광역시 남구 방림동,84.78,16000
광주광역시 남구 방림동,61.3755,33500
광주광역시 북구 문흥동,59.97,12200
광주광역시 북구 용봉동,84.72,20500
광주광역시 서구 풍암동,59.46,16350
광주광역시 동구 운림동,84.87,19000
광주광역시 북구 용봉동,59.76,14300
광주광역시 남구 봉선동,84.96,25000
광주광역시 남구 봉선동,84.6448,42000
